kit_id_anonymized,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,cluster
df84676eecb18d8c93a1dcc278bfd08f,0.1175915167477473,-0.2045915906627775,-0.9590748180928312,0.6670432131936722,-1.1746523380351803,-1.0869412864049353,-0.1897883183065547,-0.2647245219685015,-0.5585153674840222,-0.2653697524581059,-0.1296220678948875,10.657242005337537,-0.1614701217856049,-0.2194343930719601,-2.0049570650137336,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3832015812849587,-0.477777871951615,-1.3289633583787452,-0.3673269578095854,-0.2436330190679868,0.1245270712172169,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5334a56a23e6bb01e1b5f7e7e836f238,0.1175915167477473,0.0774130343048343,-0.8278844234099267,0.6160801889400901,1.0540564674200237,-0.7496212441351675,-0.1897883183065547,-0.2647245219685015,-0.4503793411419564,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.8914687697604946,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3832015812849587,2.457935573442696,-1.1210728446867482,-0.3673269578095854,-0.2436330190679868,0.2184664234798337,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
e96f25d185c876b970b11f2cb9e8def4,0.1175915167477473,0.171414575960705,-0.8774987194413221,0.6352828283757969,0.5662239207893466,-0.1887693042400067,-0.1716294847353918,-0.2647245219685015,-0.4836750511385391,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.9085706387398532,-0.1559966442694558,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,0.1248378168532042,2.714108645283543,-0.8818114933885404,-0.3673269578095854,-0.2436330190679868,0.4629670258366966,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
40d5a4d9737a0fc4424152d547c6d3fd,1.4203469719531248,0.5474207425841875,-0.9215113829260576,0.6659899105103801,-0.9317464662096906,1.004976861166696,-0.1755280875165663,-0.2647245219685015,-0.4200207908778351,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.9161474495208336,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.2700551363621207,-0.4500565927988181,1.2715034742246811,-0.3551993397237437,-0.2381618793608879,0.9747381692264332,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1998747d6094baea8c2b82a3fe4a4a63,0.1175915167477473,-0.6745992989421307,-0.8905733780315751,0.6568030054304237,1.21302614462284,-0.8938990820500946,-0.1636348425961735,-0.2647245219685015,-0.3590504801544867,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.8945451780673677,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3832015812849587,-0.477777871951615,-0.6015523174174651,1.1327022391313792,-0.2436330190679868,0.1943665334451677,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
f489adad1b09a7de79e5ee4c45a84547,-1.1851639384576302,-1.1446070072214838,-0.6147546325384313,0.6431146697742213,-0.3529712301109134,0.9169109195122362,-0.1897883183065547,-0.2647245219685015,-0.337424041065015,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,1.3785096144900275,0.6614703816683369,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3832015812849587,-0.477777871951615,0.7983081561672594,0.0791343092490244,-0.2436330190679868,0.9194721866953746,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6a96da73fc96cde31de34dddbe563481,-1.1851639384576302,0.0774130343048343,-0.9984597017400209,0.660172683532136,0.7959947309905077,-0.0545700051177909,-0.1897883183065547,-0.2647245219685015,-0.546044638882204,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.9625565502180372,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,0.1985272893514959,0.1507428780586472,-0.284019954784935,0.2866385130801897,0.9550826901037904,0.6727435311709168,0.5387142854061331,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
43c4e874c9c33fd72273fd239187476d,1.4203469719531248,-0.7686008405980013,-1.0599898158861267,0.6596816192584561,0.7331649835989535,-1.1515151265058143,-0.1897883183065547,-0.2647245219685015,-0.5585153674840222,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.985107921497129,-0.1516916997988385,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.1906133202309244,-0.477777871951615,-0.6874829757240561,0.9600635010619392,-0.2436330190679868,0.092000137171719,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43a54cba7959c87e52947dbbbbe412ef,0.1175915167477473,-0.4865962156303894,1.096677370615497,0.0213382843716848,0.5582116350259343,0.3291970014984032,-0.163695001992475,-0.1470095667659302,-0.2308458910796435,-0.2653697524581059,0.0182948434187984,-0.184226427446169,0.1201536889668761,2.107378711915608,-0.1958122995336061,-0.163486944360324,0.0648294375623999,-0.0506517141421767,-0.1586175872752796,0.0938114574636165,-0.2713512315842421,0.544548465917819,0.2270526732051744,0.3209578929862019,0.1520653312981183,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
eac0833dfacc3851571e97cc10804d69,0.1175915167477473,-0.0165885073510362,0.1734821083815492,0.239514789280988,-0.0545092095995159,0.6219231371175229,-0.1771553671903716,0.1738303234163146,-0.4241050446709044,-0.2346596149015867,-0.1296220678948875,-0.184226427446169,-0.0944896063987756,-0.2194343930719601,0.4396447317583309,-0.163486944360324,-0.1234968610756049,0.0697764399184891,0.5741428016393676,0.0936922352868544,-0.477777871951615,0.7713913040692465,-0.3673269578095854,-0.2436330190679868,0.4565361073863545,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
